1643711400.000, 4.340, 58.8000
1643711458.800, 4.340, 2.1000
1643711460.900, 4.338, 2.1000
1643711463.000, 4.336, 2.1000
1643711465.100, 4.334, 2.1000
1643711467.200, 4.332, 2.1000
1643711469.300, 4.330, 2.1000
1643711471.400, 4.328, 2.1000
1643711473.500, 4.326, 2.1000
1643711475.600, 4.324, 2.1000
1643711477.700, 4.322, 2.1000
1643711479.800, 4.320, 2.1000
1643711481.900, 4.318, 2.1000
1643711484.000, 4.316, 2.1000
1643711486.100, 4.314, 2.1000
1643711488.200, 4.312, 2.1000
1643711490.300, 4.310, 2.1000
1643711492.400, 4.308, 2.1000
1643711494.500, 4.306, 2.1000
1643711496.600, 4.304, 2.1000
1643711498.700, 4.302, 2.1000
1643711500.800, 4.300, 2.1000
1643711502.900, 4.298, 2.1000
1643711505.000, 4.296, 2.1000
1643711507.100, 4.294, 2.1000
1643711509.200, 4.292, 2.1000
1643711511.300, 4.290, 2.1000
1643711513.400, 4.288, 2.1000
1643711515.500, 4.286, 2.1000
1643711517.600, 4.284, 2.1000
1643711519.700, 4.282, 2.1000
1643711521.800, 4.280, 2.1000
1643711523.900, 4.278, 2.1000
1643711526.000, 4.276, 2.1000
1643711528.100, 4.274, 2.1000
1643711530.200, 4.272, 2.1000
1643711532.300, 4.270, 2.1000
1643711534.400, 4.268, 2.1000
1643711536.500, 4.266, 2.1000
1643711538.600, 4.264, 2.1000
1643711540.700, 4.262, 2.1000
1643711542.800, 4.260, 2.1000
1643711544.900, 4.258, 2.1000
1643711547.000, 4.256, 2.1000
1643711549.100, 4.254, 2.1000
1643711551.200, 4.252, 2.1000
1643711553.300, 4.250, 2.1000
1643711555.400, 4.248, 2.1000
1643711557.500, 4.246, 2.1000
1643711559.600, 4.244, 2.1000
1643711561.700, 4.242, 2.1000
1643711563.800, 4.240, 2.1000
1643711565.900, 4.238, 2.1000
1643711568.000, 4.236, 2.1000
1643711570.100, 4.234, 2.1000
1643711572.200, 4.232, 2.1000
1643711574.300, 4.230, 2.1000
1643711576.400, 4.228, 2.1000
1643711578.500, 4.226, 2.1000
1643711580.600, 4.224, 2.1000
1643711582.700, 4.222, 2.1000
1643711584.800, 4.220, 2.1000
1643711586.900, 4.218, 2.1000
1643711589.000, 4.216, 2.1000
1643711591.100, 4.214, 2.1000
1643711593.200, 4.212, 2.1000
1643711595.300, 4.210, 2.1000
1643711597.400, 4.208, 2.1000
1643711599.500, 4.206, 2.1000
1643711601.600, 4.204, 2.1000
1643711603.700, 4.202, 2.1000
1643711605.800, 4.200, 2.1000
1643711607.900, 4.198, 2.1000
1643711610.000, 4.196, 2.1000
1643711612.100, 4.194, 2.1000
1643711614.200, 4.192, 2.1000
1643711616.300, 4.190, 2.1000
1643711618.400, 4.188, 2.1000
1643711620.500, 4.186, 2.1000
1643711622.600, 4.184, 2.1000
1643711624.700, 4.182, 2.1000
1643711626.800, 4.180, 2.1000
1643711628.900, 4.178, 2.1000
1643711631.000, 4.176, 2.1000
1643711633.100, 4.174, 2.1000
1643711635.200, 4.172, 2.1000
1643711637.300, 4.170, 2.1000
1643711639.400, 4.168, 2.1000
1643711641.500, 4.166, 2.1000
1643711643.600, 4.164, 2.1000
1643711645.700, 4.162, 2.1000
1643711647.800, 4.160, 2.1000
1643711649.900, 4.158, 2.1000
1643711652.000, 4.156, 2.1000
1643711654.100, 4.154, 2.1000
1643711656.200, 4.152, 2.1000
1643711658.300, 4.150, 2.1000
1643711660.400, 4.148, 2.1000
1643711662.500, 4.146, 2.1000
1643711664.600, 4.144, 2.1000
1643711666.700, 4.142, 2.1000
1643711668.800, 4.140, 2.1000
1643711670.900, 4.138, 2.1000
1643711673.000, 4.136, 2.1000
1643711675.100, 4.134, 2.1000
1643711677.200, 4.132, 2.1000
1643711679.300, 4.130, 2.1000
1643711681.400, 4.128, 2.1000
1643711683.500, 4.126, 2.1000
1643711685.600, 4.124, 2.1000
1643711687.700, 4.122, 2.1000
1643711689.800, 4.120, 2.1000
1643711691.900, 4.118, 2.1000
1643711694.000, 4.116, 2.1000
1643711696.100, 4.114, 2.1000
1643711698.200, 4.112, 2.1000
1643711700.300, 4.110, 2.1000
1643711702.400, 4.108, 2.1000
1643711704.500, 4.106, 2.1000
1643711706.600, 4.104, 2.1000
1643711708.700, 4.102, 2.1000
1643711710.800, 4.100, 2.1000
1643711712.900, 4.098, 2.1000
1643711715.000, 4.096, 2.1000
1643711717.100, 4.094, 2.1000
1643711719.200, 4.092, 2.1000
1643711721.300, 4.090, 2.1000
1643711723.400, 4.088, 2.1000
1643711725.500, 4.086, 2.1000
1643711727.600, 4.084, 2.1000
1643711729.700, 4.082, 2.1000
1643711731.800, 4.080, 2.1000
1643711733.900, 4.078, 2.1000
1643711736.000, 4.076, 2.1000
